Image_ID,Left,Right
9845238R.png,12,12
9060930L.png,15,15
9861824L.png,15,9
9724907R.png,12,12
9959748R.png,15,15
9126014R.png,30,21
9847873R.png,9,9
9728920L.png,9,12
9270077R.png,18,15
9701362L.png,15,18
9624170R.png,15,12
9420826R.png,15,15
9410941L.png,21,21
9200957R.png,21,18
9006723L.png,15,18
9394136L.png,9,15
9021102R.png,15,15
9274132L.png,15,15
9191168R.png,18,15
9197492R.png,9,9
9569118L.png,15,9
9398062R.png,9,18
9821872R.png,111,12
9761503R.png,15,12
9777777R.png,12,15
9951312R.png,18,12
9566704R.png,24,24
9381278R.png,24,12
9332507R.png,15,12
9983309L.png,12,9
9749364L.png,9,18
9508335L.png,12,9
9378998R.png,15,15
9276684R.png,18,15
9392537R.png,15,9
9084611L.png,15,12
9252748L.png,9,15
9728730L.png,18,15
9667253R.png,15,15
9217911L.png,15,12
9762973L.png,12,15
9573946L.png,21,9
9472254R.png,15,12
9957730L.png,117,81
9431280R.png,63,9
9965231R.png,12,15
9855059L.png,12,9
9781246L.png,9,15
9391372R.png,30,15
9225984R.png,9,15
9851134R.png,15,9
9668271L.png,15,9
9803586L.png,9,15
9714958R.png,12,51
9505140R.png,15,12
9441528L.png,15,12
9601716R.png,12,12
9071463L.png,18,15
9954735R.png,9,12
9587941R.png,24,15
9414291L.png,114,45
9727418L.png,12,12
9676235R.png,27,12
9497375L.png,12,15
9886047L.png,15,18
9821794R.png,15,15
9363628R.png,9,9
9391372L.png,12,27
9457718R.png,15,15
9098882R.png,15,12
9546108L.png,15,12
9676587R.png,33,27
9156448R.png,24,15
9099961R.png,33,18
9436426L.png,9,9
9420085L.png,15,21
9603156L.png,15,15
9685077L.png,15,21
9103365L.png,12,15
9670700R.png,9,15
9049185R.png,18,9
9088414L.png,18,15
9255884R.png,15,15
9653075R.png,9,12
9946330L.png,12,9
9395178R.png,21,12
9890238L.png,15,15
9566148R.png,15,15
9267366L.png,18,21
9902900L.png,15,33
9814657L.png,18,9
9900971L.png,15,18
9602190L.png,12,15
9172459R.png,24,12
9221040L.png,15,15
9530377L.png,9,9
9753580R.png,15,15
9347321R.png,21,12
9376280R.png,15,9
9741060R.png,57,9
9992358R.png,30,18
9852668R.png,18,15
9188345L.png,12,111
