Image_ID,Left,Right
9203057L.png,18,9
9314341R.png,18,6
9615916L.png,12,6
9435233L.png,6,12
9308482R.png,9,15
9002817R.png,21,9
9925760R.png,12,12
9729094L.png,114,114
9472164R.png,12,9
9454284R.png,6,12
9914944L.png,12,12
9940023L.png,15,6
9405154L.png,114,114
9091337L.png,12,9
9847354L.png,9,9
9332085R.png,18,6
9977206R.png,12,15
9148091R.png,12,12
9846831R.png,6,18
9085790R.png,6,12
9936312R.png,15,9
9684122R.png,6,6
9919842L.png,9,6
9011918L.png,6,9
9973483R.png,15,12
9396994R.png,15,6
9049479R.png,12,15
9937239R.png,9,12
9733376L.png,27,15
9034451R.png,6,9
9067425L.png,15,18
9622083R.png,36,12
9011918R.png,30,105
9564189L.png,12,24
9785331R.png,21,24
9320001L.png,6,9
9226021R.png,15,18
9872426L.png,12,12
9759942R.png,3,12
9142896R.png,21,12
9458416R.png,114,114
9414291R.png,6,48
9922351L.png,12,21
9287346R.png,12,12
9901158R.png,15,12
9967728L.png,15,33
9391984R.png,9,12
9332345L.png,18,12
9958234L.png,9,18
9465413L.png,21,111
9988891R.png,15,12
9871046R.png,18,6
9393527L.png,12,15
9595419L.png,15,33
9482482R.png,9,9
9093126L.png,12,12
9349261R.png,12,15
9332151L.png,6,15
9049507R.png,6,12
9954040L.png,6,12
9391126R.png,33,15
9897397R.png,12,15
9568974R.png,15,12
9381181L.png,12,6
9833887L.png,15,12
9537408R.png,24,9
9917803L.png,6,15
9402139L.png,12,54
9326657L.png,9,12
9048898L.png,9,12
9222596L.png,69,111
9684822L.png,15,12
9859361R.png,15,12
9478285R.png,15,6
9311328R.png,9,9
9415069L.png,18,12
9053047R.png,12,21
9716393R.png,18,15
9646958L.png,111,114
9023193R.png,12,12
9354699L.png,12,18
9684122L.png,6,12
9947295L.png,6,24
9469318R.png,18,12
9873010R.png,15,12
9016918L.png,12,15
9140640R.png,12,9
9223590R.png,33,12
9475264L.png,9,6
9359202R.png,9,12
9562981R.png,18,12
9430102R.png,75,6
9962749L.png,9,15
9477358R.png,6,9
9595179L.png,15,12
9777033L.png,6,111
9052978L.png,15,18
9065926L.png,6,15
9746467R.png,6,12
9228295L.png,15,12
9015363R.png,12,9
9725474L.png,12,18
9645958L.png,33,12
9534875L.png,12,6
9333528R.png,21,12
9693364L.png,6,27
9390205R.png,15,12
9548159R.png,12,15
9686590L.png,9,15
9145384R.png,12,12
9091131R.png,36,36
9727481R.png,15,12
9441861R.png,15,9
9467278L.png,18,9
9454284L.png,15,15
9239552R.png,6,12
9543202R.png,12,12
9354699R.png,36,12
9641888R.png,15,12
9357383L.png,12,15
9596610R.png,12,12
9827303R.png,6,15
9973713R.png,12,12
9134955L.png,15,12
9722021L.png,12,12
9716984R.png,15,6
9030718R.png,12,12
9846239R.png,6,12
9001897R.png,15,12
9746467L.png,12,6
9760954R.png,6,12
9663614L.png,21,63
9955276L.png,6,15
9369286R.png,6,6
9196959L.png,114,78
9068453L.png,12,9
9122643L.png,24,51
9441861L.png,12,6
9130672L.png,6,33
9202077R.png,12,12
9595235R.png,111,9
9897170R.png,12,15
9465298L.png,24,66
9475286L.png,9,12
9206450L.png,15,6
9083898L.png,12,9
9071463R.png,21,9
9824274L.png,12,12
9802320R.png,96,12
9908780R.png,12,12
9256759L.png,12,18
9349261L.png,12,15
9873010L.png,24,60
9396968L.png,9,9
9095865L.png,12,24
9352020R.png,15,18
